ID,Description,Source
S-0,"mouth, aperture",
S-2,"ship, sailor",
S-3,to forget,
S-4,to be amazed,
S-5,to make ready,
S-7,white,
S-8,I,
S-9,"heart, soul",
S-10,to insult,
S-11,new,
S-12,"to sit, remain, live",
S-14,"to shine, appear",
S-15,truth,
S-16,"to bind, mend",
S-17,"to strive, gird oneself",
S-18,quickly,
S-19,"water, river",
S-20,"mouth, lips",
S-21,to say,
S-22,interior,
S-23,"to do, make",
S-25,friend,
S-26,wing,
S-28,"alone, self, only",
S-29,father,
S-30,to catch (with net),
S-31,to take,
S-32,to bear,
S-33,"wave, waterfall",
S-35,"rain, sky",
S-36,island,
S-37,daughter,
S-38,morrow,
S-39,to measure,
S-40,water,
S-41,sweet,
S-42,to bite,
S-43,to become (inchoative),
S-44,to be sharp(?),
S-45,father-in-law,
S-46,to live,
S-47,"meat, flesh",
S-48,"to split, crack",
S-49,to open,
S-50,"to cede, forgive",
S-51,to cause,
S-52,middle,
S-53,scent,
S-54,to smell sweet,
S-55,servant,
S-56,reed,
S-57,red,
S-58,"to roll up, away",
S-59,good,
S-60,(maternal) uncle,
S-61,to be near,
S-62,thorn,
S-63,small,
S-64,to fix,
S-65,way,
S-67,"grass, crop",
S-68,to be silent,
S-69,six,
S-71,shield,
S-72,"earth, ground, place",
S-73,to murmur,
S-74,to perceive with ear or nose,
S-75,to build,
S-76,"to shake, move, take a step",
S-77,"to touch, be next to each other",
S-78,path,
S-79,great,
S-80,to disappear,
S-81,threshing floor,
S-82,"to exist, be present",
S-83,to be bound,
S-84,to cover,
S-85,"green, unripe",
S-86,to die,
S-87,great in quantity,
S-89,to fall,
S-90,five,
S-91,ten,
S-92,god,
S-93,now,
S-94,salt,
S-95,"to take, pick up, raise",
S-96,to pasture,
S-97,to proclaim,
S-98,to fear,
S-99,"to shed, sow",
S-100,to exchange,
S-101,we,
S-102,to follow,
S-103,home town,
S-104,sun,
S-105,country,
S-106,"to be able, overcome",
S-107,elder brother,
S-108,younger brother,
S-109,to know,
S-110,hand,
S-112,fire,
S-113,near,
S-114,to tell,
S-115,to wait,
S-116,"to bring, lead",
S-117,"woman, wife",
S-118,to say,
S-119,wheat,
S-120,millet (Pennisetum typhoideum),
S-121,"to be, exist, live",
S-122,this,
S-123,mother,
S-124,daughter of the mother,
S-125,woman's child,
S-126,right (hand),
S-127,to forget,
S-128,you (sg.),
S-129,"to sow, plant",
S-131,forty,
S-132,"dust, dry earth",
S-133,"to beg, ask",
S-134,"to take, receive",
S-135,kettle,
S-136,female sheep,
S-137,"man, person",
S-138,to send,
S-139,scorpion,
S-141,"sorghum, durra (Sorghum)",
S-142,"cursed, bad",
S-143,to scatter,
S-144,"to ripen, cook",
S-145,to carry,
S-146,to get/be warm,
S-147,to eat,
S-148,north(ern),
S-149,"to be, become",
S-150,knife,
S-151,"to appear, show oneself",
S-152,"to break, divide",
S-153,"to grasp, hold",
S-154,to draw water,
S-155,"to take away, wipe away",
S-156,to throw,
S-157,lamb,
S-158,to seek,
S-159,horse,
S-160,to ascend,
S-161,"limit, peak, end",
S-162,four,
S-163,heel,
S-164,cubit,
S-165,to gather,
S-166,winter,
S-167,to touch,
S-168,to come,
S-169,church,
S-170,stone,
S-171,(piece of) cloth,
S-173,"lack, deficiency, smallness",
S-174,to have,
S-175,"tree, wood",
S-176,"alone, pure",
S-177,seven,
S-178,"hill, heap",
S-179,left (hand),
S-180,wound,
S-181,feast,
S-182,"shepherd, herder",
S-185,seed,
S-186,face,
S-187,(second) wife,
S-188,"ankle, elbow",
S-189,"cavity, hole, well",
S-190,"mountain, hill",
S-191,ring,
S-192,to learn,
S-193,egg,
S-194,"to be happy, laugh",
S-195,"to open, loosen, release",
S-196,to go up,
S-197,"lie, falsehood",
S-198,"every, all",
S-199,that,
S-200,to be unable,
S-201,good,
S-202,to be without,
S-203,"then, therefore",
S-204,east(ern),
S-205,eye,
S-206,"to cut, circumcize",
S-207,"to walk, run, be hasty",
S-208,"to get full, fill up",
S-209,to not be,
S-210,good,
S-211,what?,
S-212,to bear (a child),
S-213,to fast (not eating),
S-214,to hate,
S-215,"artab, measure",
S-216,"jackal, hyena",
S-217,dog,
S-218,to shake?,
S-219,"horse, donkey",
S-220,night,
S-221,breast,
S-222,"man, husband",
S-223,to feel pain,
S-224,"foot, leg",
S-225,thirst,
S-226,to call,
S-227,to be on,
S-228,to hang (up),
S-229,to count,
S-230,to love,
S-231,male (animal),
S-232,head,
S-233,king,
S-234,south(ern),
S-235,"sheep, possession, livestock",
S-236,"to take out, take off, release",
S-237,nine,
S-238,slave,
S-239,"to weep, tear",
S-240,"to call, summon",
S-241,to jump,
S-242,"attention, mind",
S-243,"morning, tomorrow",
S-244,to row,
S-245,wadi,
S-246,dark,
S-247,to throw,
S-248,one,
S-249,distant,
S-250,to return,
S-251,second,
S-252,to exchange,
S-253,star,
S-254,day (of 24h),
S-255,"ear, leaf",
S-256,"moon, month",
S-257,"thought, insight, wisdom",
S-258,two,
S-259,you (pl),
S-260,to press,
S-261,to bend,
S-262,"to place, bear (a child)",
S-263,"to lay, put",
S-264,to blow,
S-265,to divide,
S-266,sword,
S-267,to transgress,
S-269,onion,
S-270,"wide, outside",
S-271,to write,
S-272,power,
S-273,(my) father,
S-274,old,
S-275,"valley, cultivated depression",
S-276,"land, plot",
S-277,dried-up watercourse,
S-278,to separate,
S-279,"to cease, end",
S-280,to rise,
S-281,"to grow, rise, emerge",
S-282,"to loosen, free",
S-283,"date, date palm",
S-284,"to lie, remain",
S-285,friend,
S-286,to awaken,
S-287,"to shine, flash",
S-288,"to sprinkle, splash",
S-289,dung,
S-290,wide,
S-291,"all, every",
S-292,"to pour, to drop",
S-293,lame,
S-294,jar,
S-295,to speak,
S-296,to winnow,
S-297,to take up,
S-298,writing,
S-299,to descend,
S-300,empty,
S-301,to come,
S-302,"girl, daughter",
S-303,to be covered,
S-304,quickly,
S-305,"to disappear, get lost",
S-306,"he, she, it",
S-307,to touch,
S-308,"to bless, praise",
S-309,to call,
S-310,name,
