ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
F-2722,onw,P-22,"-auō, -au(l)a",,within,OND[12]
F-2243,dgl,P-29,-bāb,,father,armbruster1965[25]
F-2437,dgl,P-358,-be-en-na,,paternal uncle,armbruster1965[33]
F-154,onw,P-51,"-gar, gir",,to cause (causative),OND[25]
F-597,dgl,P-149,-gen,,"to be, only after adjective- and verb-concretions",armbruster1965[77]
F-183,dgl,P-60,-gi,,maternal uncle,armbruster1965[78]
F-184,xnz,P-60,-gíi,,"Oheim, Mutterbruder",massenbach1962[168]
F-156,dgl,P-51,-gir,,,
F-157,xnz,P-51,-gir,,,
F-2726,mei,P-173,-ínyén… -ínyén,,neither…nor,werner1993[93]
F-431,mei,P-114,-kə́hèm,,to say ?,werner1993[104]
F-694,dgl,P-173,-kiññ(i),,"less, devoid of, lacking",armbruster1965[122]
F-155,fia,P-51,-kir,,,
F-827,fia,P-202,-mas,,one,reinisch1879[111]
F-826,dgl,P-202,-más,,without,armbruster1965[138]
F-2274,dgl,P-45,-od,,father-in-law,armbruster1965[159]
F-2275,dgl,P-481,-ono,,mother-in-law,armbruster1965[159]
F-2733,pnu,P-94,–,,,rilly2010[no. 166]
F-2734,pnu,P-220,–,,,rilly2010[no. 130]
F-2735,pnu,P-139,?,,,rilly2010[no. 163]
F-2736,pnu,P-427,?,,,rilly2010[no. 122]
F-2737,pnu,P-498,?,,,rilly2010[no. 64]
F-2222,mei,P-327,'utchi,,boy ?,macmichael1918[51]
F-41,onw,P-14,(a)a(l)l,,"to shine, appear",OND[9]
F-398,onw,P-109,(e)i,,to know,OND[63]
F-2355,onw,P-388,(e)ir-k(e)is,,forty,OND[75]
F-544,onw,P-117,(e)itt < eil + t,,"woman, wife",OND[80]
F-2620,dgl,P-432,(h)utta,,"sea, lake",
F-1907,fia,P-445,(menj),,"stehen, bleiben",reinisch1879[112]
F-1757,fia,P-413,(šingírti),,"haar, feder",reinisch1879[151]
F-1646,xnz,P-386,(u)rumme,,"schwarz, finster",massenbach1962[222]
F-2472,brk,P-459,(ʔ)oole,,yesterday,
F-2738,pnu,P-501,*(k)ugur,,,rilly2010[no. 72]
F-2739,pnu,P-8,*a-i,,,rilly2010[no. 92]
F-2740,pnu,P-12,*áag-,,,rilly2010[no. 8]
F-2741,pnu,P-491,*aal-um,,,rilly2010[no. 89]
F-2742,pnu,P-46,*aañ,,,rilly2010[no. 197]
F-2743,pnu,P-31,*aar-,,,rilly2010[no. 53]
F-2744,pnu,P-23,"*aar-, W *eer-",,,rilly2010[no. 65]
F-1973,pkn,P-26,*ab-t̪i,,wing,jakobiA[no. 344]
F-1895,pkn,P-442,*abar-abar?,,spider,jakobiA[no. 340]
F-2745,pwn,P-101,*agi,,,rilly2010[no. 127]
F-2746,pnn,P-101,*agi-r,,,rilly2010[no. 127]
F-2747,pnu,P-0,*agil,,,rilly2010[no. 16]
F-298,pkn,P-0,*agil,,mouth,jakobiA[no. 16]
F-2748,pnu,P-42,*ajj-,,,rilly2010[no. 117]
F-1637,pkn,P-42,*aɟ-,,to bite,jakobiA[no. 310]
F-2095,pkn,P-470,*aɟ-,,lake,jakobiA[no. 453]
F-2322,pkn,P-12,*ak-,,,jakobiA[no. 90]; jakobiA[no. 83]
F-2559,pkn,P-49,*al-,,"to open, undress",jakobiA[no. 201]; jakobiA[no. 421]
F-2079,pkn,P-9,"*al(-d̪ʊ), *al(t̪ʊ)",,heart,jakobiA[no. 48]
F-2749,pnu,P-21,*an,,,rilly2010[no. 44]
F-2603,pkn,P-95,*aŋ-,,,
F-354,pkn,P-21,*aŋ-k,,"to speak, talk",jakobiA[no. 139]
