ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
pnu,Proto-Nubian,Africa,,,,
pnn,Proto-Nile Nubian ,Africa,,,,
onw,Old Nubian†,Africa,22.27102315,31.57826004,oldn1245,onw
fia,Nobiin,Africa,21.7956803,31.37072997,nobi1240,fia
osh,Old Shaiqi†,Africa,,,,
dgl,Andaandi,Africa,19.164629,30.462897,dong1288,dgl
xnz,Mattokki,Africa,24.47567998,32.95160881,kenu1243,xnz
pwn,Proto-Western Nubian,Africa,,,,
brk,Birgid(†),Africa,12.36611774,25.35658525,bikr1242,brk
mei,Midob,Africa,15.22939862,26.50270356,mido1240,mei
pkn,Proto-Kordofan Nubian,Africa,,,,
pwkn,Proto-Western Kordofan Nubian,Africa,,,,
abu,Abu Jinuk,Africa,11.9598968,29.02583587,,
kko,Karko,Africa,12.05989502,29.36929255,kark1256,kko
kas,Kasha,Africa,12.20161456,29.35542572,,
kuj,Kujuria,Africa,11.82282717,29.1741513,,
fan,Fanda,Africa,11.93033861,29.25380218,,
wll,Wali,Africa,11.82241854,29.24844294,wali1262,wll
kud,Kudur,Africa,12.32775764,29.60536468,,
drb,Dair,Africa,12.41092524,30.67378509,dair1239,drb
dil,Dilling,Africa,12.0496385,29.65349304,nucl1344,dil
pekn,Proto-Eastern Kordofan Nubian,Africa,,,,
dab,Dabatna,Africa,12.04049362,30.13270843,daba1243,kdu
deb ,Debri,Africa,11.23346284,29.82783782,debr1242,
kdu,Kadaru,Africa,12.19356084,30.1217221,nucl1343,kdu
tag,Tagle,Africa,12.20523328,30.32372981,,
ghl,Ghulfan,Africa,11.99307336,29.6521905,ghul1238,ghl
ghm,Ghulfan-Morung,Africa,11.99307336,29.6521905,ghul1238,ghl
ghk,Ghulfan-Kurgul,Africa,11.85467647,29.99688655,ghul1238,ghl
elh,El Hugeirat,Africa,11.73947673,28.67701995,elhu1238,elh
har,Haraza†,Africa,15.03500004,30.42408862,hara1258,
xmr,Meroitic,Africa,16.93,33.73,mero1237,xmr
ara,Sudanese Arabic,Africa,17.8,33.32,suda1236,apd
nrb,Nara,Africa,15.33,37.5,nara1262,nrb
bej,Beja,Africa,17.24,36.67,beja1238,bej
sah,Sahidic Coptic,Africa,26.56,31.697,sahi1241,cop
dem,Demotic Egyptian,Africa,25.719,32.657,demo1234,egy
