ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Ord,Color,Proto,Parent_ID,Level
pnes,Proto-Northern East Sudanic,Africa,,,,,0,b99130,TRUE,,0
xmr,Meroitic,Africa,16.93,33.73,mero1237,xmr,1,eac251,FALSE,pnes,1
nrb,Nara,Africa,15.33,37.5,nara1262,nrb,2,eac251,FALSE,pnes,1
pta,Proto-Taman,Africa,,,,,3,eac251,TRUE,pnes,1
tam,Tama,Africa,14.16,22.69,tama1339,,4,fad978,FALSE,pta,2
mgb,Mararit,Africa,14.09,21.64,mara1396,mgb,5,fad978,FALSE,pta,2
pny,Proto-Nyima,Africa,,,,,6,eac251,TRUE,pnes,1
nyi,Nyimang,Africa,12.1,29.43,amas1236,nyi,7,fad978,FALSE,pny,2
aft,Afitti,Africa,12.45,30.76,afit1238,aft,8,fad978,FALSE,pny,2
pnu,Proto-Nubian,Africa,,,,,9,314d1c,TRUE,pnes,1
pnn,Proto-Nile Nubian ,Africa,,,,,10,47842c,TRUE,pnu,2
onw,Old Nubian†,Africa,22.27102315,31.57826004,oldn1245,onw,11,9dc284,FALSE,pnn,3
fia,Nobiin,Africa,21.7956803,31.37072997,nobi1240,fia,12,bdd5ac,FALSE,onw,4
osh,Old Shaiqi†,Africa,,,,,13,9dc284,FALSE,pnn,3
odg,Old Dongolawi,Africa,,,,,14,9dc284,FALSE,pnn,3
dgl,Andaandi,Africa,19.164629,30.462897,dong1288,dgl,15,bdd5ac,FALSE,odg,4
xnz,Mattokki,Africa,24.47567998,32.95160881,kenu1243,xnz,16,bdd5ac,FALSE,odg,4
pwn,Proto-Western Nubian,Africa,,,,,17,8d1a11,TRUE,pnu,2
brk,Birgid(†),Africa,12.36611774,25.35658525,bikr1242,brk,18,d26d6a,FALSE,pwn,3
mei,Midob,Africa,15.22939862,26.50270356,mido1240,mei,19,d26d6a,FALSE,pwn,3
har,Haraza†,Africa,15.03500004,30.42408862,hara1258,,20,d26d6a,FALSE,pwn,3
pkn,Proto-Kordofan Nubian,Africa,,,,,21,9b5377,TRUE,pwn,3
pwkn,Proto-Western Kordofan Nubian,Africa,,,,,22,b87f9e,TRUE,pkn,4
abu,Abu Jinuk,Africa,11.9598968,29.02583587,,,23,cea8bc,FALSE,pwkn,5
kko,Karko,Africa,12.05989502,29.36929255,kark1256,kko,24,cea8bc,FALSE,pwkn,5
kas,Kasha,Africa,12.20161456,29.35542572,,,25,cea8bc,FALSE,pwkn,5
kuj,Kujuria,Africa,11.82282717,29.1741513,,,26,cea8bc,FALSE,pwkn,5
fan,Fanda,Africa,11.93033861,29.25380218,,,27,cea8bc,FALSE,pwkn,5
wll,Wali,Africa,11.82241854,29.24844294,wali1262,wll,28,cea8bc,FALSE,pwkn,5
kud,Kudur,Africa,12.32775764,29.60536468,,,29,cea8bc,FALSE,pwkn,5
drb,Dair,Africa,12.41092524,30.67378509,dair1239,drb,30,cea8bc,FALSE,pwkn,5
dil,Dilling,Africa,12.0496385,29.65349304,nucl1344,dil,31,cea8bc,FALSE,pwkn,5
pekn,Proto-Eastern Kordofan Nubian,Africa,,,,,32,8a7ebe,TRUE,pkn,4
dab,Dabatna,Africa,12.04049362,30.13270843,daba1243,kdu,33,b1a8d2,FALSE,pekn,5
deb ,Debri,Africa,11.23346284,29.82783782,debr1242,,34,b1a8d2,FALSE,pekn,5
kdu,Kadaru,Africa,12.19356084,30.1217221,nucl1343,kdu,35,b1a8d2,FALSE,pekn,5
tag,Tagle,Africa,12.20523328,30.32372981,,,36,b1a8d2,FALSE,pekn,5
ghl,Ghulfan,Africa,11.99307336,29.6521905,ghul1238,ghl,37,b1a8d2,FALSE,pekn,5
ghm,Ghulfan-Morung,Africa,11.99307336,29.6521905,ghul1238,ghl,38,b1a8d2,FALSE,pekn,5
ghk,Ghulfan-Kurgul,Africa,11.85467647,29.99688655,ghul1238,ghl,39,b1a8d2,FALSE,pekn,5
elh,El Hugeirat,Africa,11.73947673,28.67701995,elhu1238,elh,40,b1a8d2,FALSE,pekn,5
ara,Sudanese Arabic,Africa,17.8,33.32,suda1236,apd,41,a8c3c8,FALSE,,0
bej,Beja,Africa,17.24,36.67,beja1238,bej,42,a8c3c8,FALSE,,0
dem,Demotic Egyptian,Africa,25.719,32.657,demo1234,egy,43,4879d1,FALSE,,0
sah,Sahidic Coptic,Africa,26.56,31.697,sahi1241,cop,44,a9c2f0,FALSE,dem,1
