ID,Name,Concepticon_ID,Part_Of_Speech
P-0,"mouth, aperture",674,noun
P-2,"ship, sailor",740,noun
P-3,to forget,1523,verb
P-4,to be amazed,,verb
P-5,to make ready,,verb
P-7,white,1335,adjective
P-8,I,1209,pronoun
P-9,"heart, soul",1223,noun
P-10,to insult,3204,verb
P-11,new,1231,adjective
P-12,"to sit, remain, live",1416,verb
P-14,"to shine, appear",,verb
P-15,truth,,noun
P-16,"to bind, mend",,verb
P-17,"to strive, gird oneself",,verb
P-18,quickly,,adverb
P-19,"water, river",,noun
P-20,"mouth, lips",,noun
P-21,to say,,verb
P-22,interior,,noun
P-23,"to do, make",,verb
P-25,friend,,noun
P-26,wing,,noun
P-28,"alone, self, only",,adjective
P-29,father,,noun
P-30,to catch (with net),,verb
P-31,to take,,verb
P-32,to bear,,verb
P-33,"wave, waterfall",,noun
P-35,"rain, sky",,noun
P-36,island,,noun
P-37,daughter,,noun
P-38,morrow,,noun
P-39,to measure,,verb
P-40,water,,noun
P-41,sweet,,adjective
P-42,to bite,,verb
P-43,to become (inchoative),,verb
P-44,to be sharp(?),,verb
P-45,father-in-law,,noun
P-46,to live,,verb
P-47,"meat, flesh",,noun
P-48,"to split, crack",,verb
P-49,to open,,verb
P-50,"to cede, forgive",,verb
P-51,to cause,,verb
P-52,middle,,noun
P-53,scent,,noun
P-54,to smell sweet,,verb
P-55,servant,,noun
P-56,reed,,noun
P-57,red,,adjective
P-58,"to roll up, away",,verb
P-59,good,,adjective
P-60,(maternal) uncle,,noun
P-61,to be near,,verb
P-62,thorn,,noun
P-63,small,,noun
P-64,to fix,,verb
P-65,way,,noun
P-67,"grass, crop",,noun
P-68,to be silent,,verb
P-69,six,,numeral
P-71,shield,,noun
P-72,"earth, ground, place",,noun
P-73,to murmur,,verb
P-74,to perceive with ear or nose,,verb
P-75,to build,,verb
P-76,"to shake, move, take a step",,verb
P-77,"to touch, be next to each other",,verb
P-78,path,,noun
P-79,great,,adjective
P-80,to disappear,,verb
P-81,threshing floor,,noun
P-82,"to exist, be present",,verb
P-83,to be bound,,verb
P-84,to cover,,verb
P-85,"green, unripe",,adjective
P-86,to die,,verb
P-87,great in quantity,,adjective
P-89,to fall,,verb
P-90,five,,numeral
P-91,ten,,numeral
P-92,god,,noun
P-93,now,,adverb
P-94,salt,,noun
P-95,"to take, pick up, raise",,verb
P-96,to pasture,,verb
P-97,to proclaim,,verb
P-98,to fear,,verb
P-99,"to shed, sow",,verb
P-100,to exchange,,verb
P-101,we,,pronoun
P-102,to follow,,verb
P-103,home town,,noun
P-104,sun,,noun
