Name,Author,Title,Year
BVL,"Thelwall, Robin",A Birgid Vocabulary List,1977
BW,"Kauczor, P. Daniel",Bergnubisches Wörterverzeichnis,1930
DL,"MacMichael, H.A.",Darfur Linguistics,1920
DNL,"Armbruster, Charles H.",Dongolese Nubian: A Lexicon,1965
ENLK,"Bell, Herman",An Extinct Nubian Language in Kordofan ,1973
ETMN,"Osman, Ali",The Economy and Trade of Medieval Nubia,1978
KN,"Jakobi, Angelika",Kordofan Nubian: A Synchronic and Diachronic Study (ms.),2013
LSES1,"Starostin, George",Lexicostatistical Studies in East Sudanic I: On the Genetic Unity of Nubian–Nara–Tama,2017
MFL,"Rilly, Claude",Le méroitique et sa famille linguistique,2010
MN,"Thelwall, Robin",Meidob Nubian,1983
NED,"MacMichael, H.A.",Nubian Elements in Darfur,1918
NG,"Lepsius, Richard",Nubische Grammatik,1880
NS,"Reinisch, Leo",Die Nuba-Sprache,1879
NW,"Hofmann, Inge",Nubisches Wörterverzeichnis,1986
NZPGM,"MacMichael, H.A.",Notes on the Zaghawa and the People of Jebel Meidob,1912
OND,"Browne, Gerald M.",Old Nubian Dictionary,1996
OSL,"Spaulding, Jay",The Old Shaiqi Language in Historical Perspective,1990
PAttiri,"Van Gerven Oei, Vincent W.J., et al. ",The Old Nubian Texts from Attiri,2016
PQI3,"Browne, Gerald M.",The Old Nubian Texts from Qasr Ibrim III,1991
RASS,"Krell, Amy","Rapid Appraisal Sociolinguistic Survey among Ama, Karko, and Wali Language Groups",2012
SDN,"Zyhlarz, Ernst",Zur Stellung des Darfur-Nubischen,1928
SES,"Meinhof, Carl",Sprachstudien im egyptischen Sudan,1918
TA,"Werner, Roland",Tìdn-Aál: A Study of Midob,1993
WNK,"Massenbach, Gertrud von",Wörterbuch des nubischen Kunûzi-Dialektes,1933
WNS,"Khalil, Mokhtar",Wörterbuch der nubischen Sprache,1996
WS,Seetzen,Wörter-Sammlungen aus Nordost-Afrikanischen Sprachen,1816
