ID,Languoid_ID,Lemma_ID,Form,Meaning,Comment,Source
W-1,dgl,L-0,ágil,"mouth, aperture",comment,armbruster1965[9]
W-1715,brk,L-0,agal,mouth,comment,thelwall1977[204]
W-2,fia,L-0,"ak, pl. agī, aglī, agligū","Mund, Schnabel",comment,reinisch1879[6]
W-2240,mei,L-0,āl,mouth,comment,macmichael1918[52]
W-2295,brk,L-0,enagul,mouth,comment,macmichael1920[206]
W-2747,pnu,L-0,*agil,,comment,rilly2010[no. 16]
W-298,pkn,L-0,*agil,mouth,comment,jakobiA[no. 16]
W-299,mei,L-0,áal,"mouth, speech, word",comment,werner1993[78]
W-3,onw,L-0,akil,mouth,comment,OND[4]
W-300,mei,L-0,áal èngèdí,doorkeeper,comment,werner1993[78]
W-4,xnz,L-0,ágil,"Mund, Öffnung, Tür",comment,massenbach1962[142]
W-26,fia,L-10,aïr,,comment,
W-27,onw,L-10,aeir,to insult,comment,OND[8]
W-28,xnz,L-10,aïr,,comment,
W-360,onw,L-100,eue-j-kane,fairness vel sim.,comment,OND[60]
W-361,dgl,L-100,éwir,to exhange,comment,armbruster1965[68]
W-362,xnz,L-100,éwir,"tauschen, Geld wechseln",comment,massenbach1962[162]
W-1009,onw,L-101,ou,we (excl),comment,OND[129]
W-1010,fia,L-101,u,wir,comment,reinisch1879[167]
W-2158,brk,L-101,adi,we,comment,thelwall1977[207]
W-2551,mei,L-101,àngá,we (incl),comment,werner1993[80]
W-2745,pwn,L-101,*agi,,comment,rilly2010[no. 127]
W-2746,pnn,L-101,*agi-r,,comment,rilly2010[no. 127]
W-363,onw,L-101,er,we (incl.),comment,OND[60]
W-364,dgl,L-101,"ár, ar",we,comment,armbruster1965[16]
W-365,xnz,L-101,"ar, ár-i",wir,comment,massenbach1962[144]
W-367,mei,L-101,àad-í,we (excl),comment,werner1993[76]
W-368,pkn,L-101,*àr-í,"we (incl, excl)",comment,jakobiA[607]
W-369,onw,L-102,erg,to follow,comment,OND[61]
W-370,fia,L-102,erg,"nachgehen, nachfolgen",comment,reinisch1879[36]
W-371,onw,L-103,"erk, irk",village,comment,OND[61]
W-372,fia,L-103,irki,"land, heimat",comment,reinisch1879[74]
W-2137,brk,L-104,ʔiizi,sun,comment,thelwall1977[206]
W-2288,brk,L-104,izzi,sun,comment,macmichael1920[204]
W-2796,pnu,L-104,*ees-i,,comment,rilly2010[no. 173]
W-373,onw,L-104,ese,heat,comment,OND[61]
W-374,dgl,L-104,ées,early afternoon,comment,armbruster1965[66]
W-375,xnz,L-104,ées,"Hitze, Mittag",comment,massenbach1962[162]
W-376,mei,L-104,èes,"heat of the day, noon",comment,werner1993[88]
W-836,onw,L-104,mašal,"sun, Mer. loan ms-l",comment,OND[112]
W-837,fia,L-104,máža,"sonne, pre-Nubian",comment,reinisch1879[111]
W-838,dgl,L-104,másil,"sun, Mer. loan",comment,armbruster1965[139]
W-839,xnz,L-104,másil,"Sonne, Mer. loan",comment,massenbach1962[195]
W-840,mei,L-104,pàssàr,"sun, loan from ON",comment,werner1993[113]
W-841,pkn,L-104,*eɟ,sun,comment,jakobiA[no. 429]
W-377,onw,L-105,ese,country,comment,OND[61]
W-378,xnz,L-105,"ešei, išei","Dorf, Land, Wetter, das Nubierland",comment,massenbach1962[162]
W-2809,pnu,L-106,*esk,,comment,rilly2010[]
W-379,onw,L-106,esk,to conquer,comment,OND[61]
W-380,xnz,L-106,eske,können,comment,massenbach1962[162]
W-381,dgl,L-106,"esk(i), isk(i)",to be able to,comment,armbruster1965[67]
W-382,fia,L-106,esk,"können, vermögen, im stande sein",comment,reinisch1879[37]
W-383,mei,L-106,ékk-íhèm,"to can, to be able, to overcome",comment,werner1993[86]
W-877,fia,L-106,m-isk,"nicht können, nicht im stande sein",comment,reinisch1879[116]
W-878,onw,L-106,m-isk-itt,"estranged, hapax",comment,OND[118]
W-2270,brk,L-107,immerōn,brother,comment,macmichael1920[200]
W-390,mei,L-107,èr-kà,elder brother/sister,comment,werner1993[88]
W-392,mei,L-107,éen-ící,"brother, uncertain?",comment,werner1993[87]
W-395,pkn,L-107,*ɪnt̪-an < *ɪn-t̪ʊ-an,elder brother,comment,jakobiA[no. 124]
W-2438,mei,L-108,pèesì,younger brother,comment,werner1993[115]
W-2439,brk,L-108,buz-on-a,brother,comment,thelwall1977[200]
W-2444,fia,L-108,bes,Schwester,comment,khalil1996a[93]
W-2768,pnu,L-108,*bes(-an),,comment,rilly2010[no. 75]
W-391,mei,L-108,pès-kà,"younger brother, sister",comment,werner1993[115]
W-393,dgl,L-108,bes,brother,comment,armbruster1965[35]
W-394,xnz,L-108,bes,Bruder,comment,massenbach1962[150]
W-2623,fia,L-109,ir-bir,"wissen, kennen",comment,khalil1996a[47]
W-2823,pnu,L-109,*i(s)-er,,comment,rilly2010[no. 162]
W-398,onw,L-109,(e)i,to know,comment,OND[63]
W-399,onw,L-109,"ei-ar, ei-er",to know,comment,OND[64]
W-400,xnz,L-109,"íy-ir, íi-r","kennen, wissen, zählen",comment,massenbach1962[178]
W-401,pkn,L-109,*ir-,to know,comment,jakobiA[no. 545]
W-402,mei,L-109,ìiy-áhèm,to know,comment,werner1993[94]
W-1827,dgl,L-11,éer,"new, fresh",comment,armbruster1965[65]
W-1828,pkn,L-11,*ɛr,new,comment,jakobiA[no. 592]
W-1829,xnz,L-11,éer,neu,comment,massenbach1962[161]
W-1830,fia,L-11,míir,"neu, pre-Nubian",comment,reinisch1879[116]
W-2104,brk,L-11,eer,new,comment,thelwall1977[204]
W-2552,onw,L-11,"mir(i), mirei, muri","new, pre-Nubian",comment,OND[118]
W-2794,pnu,L-11,*eer,,comment,rilly2010[no. 128]
